Sample	Days	Cell_type	Experiment
P10916_1002	D4A2_4	D4	D4	Exp2
P10916_1003	D4A2_3	D4	D4	Exp2
P10916_1004	D4A2_2	D4	D4	Exp2
P10916_1005	D4A2_1	D4	D4	Exp2
P10916_1006	D4H4_11	D4	D4	Exp2
P10916_1007	D4H4_12	D4	D4	Exp2
P10916_1008	D4H4_13	D4	D4	Exp2
P10916_1009	D4H7_8	D4	D4	Exp2
P10916_1010	D4H7_7	D4	D4	Exp2
P10916_1011	D4H7_6	D4	D4	Exp2
P10916_1012	D4H7_5	D4	D4	Exp2
P10916_1013	D4H7_4	D4	D4	Exp2
P10916_1015	D4H7_2	D4	D4	Exp2
P10916_1016	D4H7_1	D4	D4	Exp2
P10916_1017	D4H7_16	D4	D4	Exp2
P10916_1019	D4H7_14	D4	D4	Exp2
P10916_1023	D4H7_10	D4	D4	Exp2
P10916_1024	D4H7_9	D4	D4	Exp2
P10916_1033	D4H3_8	D4	D4	Exp2
P10916_1035	D4H3_6	D4	D4	Exp2
P10916_1037	D4H3_4	D4	D4	Exp2
P10916_1038	D4H3_3	D4	D4	Exp2
P10916_1039	D4H3_2	D4	D4	Exp2
P10916_1040	D4H3_1	D4	D4	Exp2
P10916_1051	D4H5_11	D4	D4	Exp2
P10916_1056	D4H5_16	D4	D4	Exp2
P10916_1065	D5K4_24	D5	D5	Exp2
P10916_1066	D5K4_23	D5	D5	Exp2
P10916_1067	D5K4_22	D5	D5	Exp2
P10916_1068	D5K4_21	D5	D5	Exp2
P10916_1070	D5K4_19	D5	D5	Exp2
P10916_1071	D5K4_18	D5	D5	Exp2
P10916_1072	D5K4_17	D5	D5	Exp2
P10916_1074	D5E1_15	D5	D5	Exp2
P10916_1079	D5E1_10	D5	D5	Exp2
P10916_1080	D5E1_9	D5	D5	Exp2
P10916_1089	D5E1_8	D5	D5	Exp2
P10916_1090	D5E1_7	D5	D5	Exp2
P10916_1091	D5E1_6	D5	D5	Exp2
P10916_1092	D5E1_5	D5	D5	Exp2
P10916_1093	D5E1_4	D5	D5	Exp2
P10916_1094	D5E1_3	D5	D5	Exp2
P10916_1095	D5E1_2	D5	D5	Exp2
P10916_1096	D5E1_1	D5	D5	Exp2
P10916_1097	D7C1ICM_8	D7	ICM	Exp2
P10916_1098	D7C1ICM_7	D7	ICM	Exp2
P10916_1099	D7C1ICM_6	D7	ICM	Exp2
P10916_1100	D7C1ICM_5	D7	ICM	Exp2
P10916_1101	D7C1ICM_4	D7	ICM	Exp2
P10916_1102	D7C1ICM_3	D7	ICM	Exp2
P10916_1103	D7C1ICM_2	D7	ICM	Exp2
P10916_1104	D7C1ICM_1	D7	ICM	Exp2
P10916_1106	D7F2ICM_23	D7	ICM	Exp2
P10916_1111	D7F2ICM_18	D7	ICM	Exp2
P10916_1112	D7F2ICM_17	D7	ICM	Exp2
P10916_1122	D7C1ICM_23	D7	ICM	Exp2
P10916_1127	D7C1ICM_18	D7	ICM	Exp2
P10916_1128	D7C1ICM_17	D7	ICM	Exp2
P10916_1129	D7L2ICM_16	D7	ICM	Exp2
P10916_1130	D7L2ICM_15	D7	ICM	Exp2
P10916_1135	D7L2ICM_10	D7	ICM	Exp2
