Gene ID	Gene Name	Reference	Strand	Start	End
ENSBTAG00000046432	ENSBTAG00000046432	10	+	555202	555884
ENSBTAG00000000767	DCP2	10	-	944927	992564
ENSBTAG00000012804	REEP5	10	+	1043713	1094330
ENSBTAG00000012803	SRP19	10	-	1102150	1110236
ENSBTAG00000018852	APC	10	-	1116669	1212429
ENSBTAG00000014099	YTHDC2	10	+	2361696	2434171
ENSBTAG00000023186	ENSBTAG00000023186	10	+	3586114	3586506
ENSBTAG00000001895	PGGT1B	10	-	3997971	4051209
ENSBTAG00000001898	CCDC112	10	-	4055254	4085518
ENSBTAG00000008699	FEM1C	10	-	4305632	4334954
ENSBTAG00000002354	ENSBTAG00000002354	10	+	4360166	4362131
ENSBTAG00000035030	TMED7	10	-	4409118	4418520
ENSBTAG00000017525	ATG12	10	-	4619383	4799774
ENSBTAG00000045118	ENSBTAG00000045118	10	-	4663360	4663443
ENSBTAG00000016644	AQPEP	10	+	4789066	4866585
ENSBTAG00000035005	ENSBTAG00000035005	10	+	4842899	4843791
ENSBTAG00000039618	C10H11ORF46	10	+	4872818	4904741
ENSBTAG00000011608	P33MONOX	10	+	4950671	4964129
ENSBTAG00000035174	THOC3	10	+	5122915	5135349
ENSBTAG00000007840	HMGCR	10	+	6692478	6713106
ENSBTAG00000000081	COL4A3BP	10	-	6725117	6853171
ENSBTAG00000044151	ANKDD1B	10	+	6954642	7010832
ENSBTAG00000043085	U5	10	+	6959430	6959545
ENSBTAG00000043356	U5	10	-	6986544	6986659
ENSBTAG00000007114	MGC157319	10	-	7013635	7044633
ENSBTAG00000000897	IQGAP2	10	+	7554265	7867328
ENSBTAG00000000898	F2RL2	10	-	7777600	7788321
ENSBTAG00000034848	F2RL1	10	+	7956084	7964929
ENSBTAG00000034823	AGGF1	10	+	8110496	8157658
ENSBTAG00000003263	TBCA	10	-	8737160	8822375
ENSBTAG00000005016	AP3B1	10	-	9040253	9300567
ENSBTAG00000043733	ENSBTAG00000043733	10	-	9094227	9094355
ENSBTAG00000028061	5S_rRNA	10	-	9218607	9218717
ENSBTAG00000007371	SCAMP1	10	+	9369310	9520700
ENSBTAG00000007374	LHFPL2	10	-	9500429	9527328
ENSBTAG00000025856	JMY	10	+	10242751	10313028
ENSBTAG00000006751	PAPD4	10	+	10549964	10609975
ENSBTAG00000001619	SERINC5	10	-	11052483	11103578
ENSBTAG00000005344	GNPNAT1	10	+	11332415	11344167
ENSBTAG00000015732	PSMC6	10	-	11401913	11425951
ENSBTAG00000015716	ERO1L	10	+	11438273	11488427
ENSBTAG00000010399	TXNDC16	10	+	11563978	11652151
ENSBTAG00000043148	U6	10	-	11589433	11589539
ENSBTAG00000021630	MTFMT	10	-	11883590	11908872
ENSBTAG00000039658	PDCD7	10	-	12021448	12030315
ENSBTAG00000008386	CLPX	10	-	12041745	12071031
ENSBTAG00000042190	U5	10	+	12189893	12190008
ENSBTAG00000014807	DPP8	10	-	12321152	12369941
ENSBTAG00000015155	PTPLAD1	10	+	12383331	12413251
ENSBTAG00000042761	Y_RNA	10	-	12405973	12406080
ENSBTAG00000017095	DENND4A	10	-	12504135	12586181
ENSBTAG00000018959	RAB11A	10	+	12691046	12710296
ENSBTAG00000000371	DIS3L	10	+	13162027	13194338
ENSBTAG00000000372	TIPIN	10	-	13195494	13212891
ENSBTAG00000044425	SCARNA14	10	-	13199986	13200119
ENSBTAG00000033983	MAP2K1	10	+	13238265	13312611
ENSBTAG00000005210	SNAPC5	10	-	13314216	13317563
ENSBTAG00000005211	RPL4	10	-	13318875	13323526
ENSBTAG00000043531	SNORD18	10	-	13320181	13320250
ENSBTAG00000042406	SNORD18	10	-	13320918	13320988
ENSBTAG00000043377	SNORD16	10	-	13321373	13321470
ENSBTAG00000042233	SNORD18	10	-	13321820	13321891
ENSBTAG00000005213	ZWILCH	10	+	13323843	13366228
ENSBTAG00000005214	LCTL	10	-	13365616	13381791
ENSBTAG00000044351	SNORA1	10	-	13373031	13373162
ENSBTAG00000000625	SMAD6	10	+	13507839	13583291
ENSBTAG00000038176	ENSBTAG00000038176	10	-	13515815	13515957
ENSBTAG00000012599	SMAD3	10	+	13958174	13980371
ENSBTAG00000040368	MGC152585	10	-	13992197	14074945
ENSBTAG00000005564	PIAS1	10	+	14878655	15004134
ENSBTAG00000025822	CALML4	10	-	15009940	15019251
ENSBTAG00000005565	CLN6	10	-	15025858	15041922
ENSBTAG00000008378	FEM1B	10	+	15080222	15092340
ENSBTAG00000012365	ANP32A	10	-	15589747	15629076
ENSBTAG00000009983	KIF23	10	+	16268191	16308714
ENSBTAG00000018320	RPLP1	10	+	16324341	16326492
ENSBTAG00000015580	TLE3	10	-	16901655	16949714
ENSBTAG00000013982	UACA	10	-	17516709	17559258
ENSBTAG00000007433	MYO9A	10	-	18655256	18829592
ENSBTAG00000033344	ENSBTAG00000033344	10	+	18889118	18907145
ENSBTAG00000001601	PKM2	10	-	18965984	18992445
ENSBTAG00000005753	PARP6	10	-	18999277	19022108
ENSBTAG00000012981	HEXA	10	-	19092344	19126422
